,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Clicked on Ad,Day,Month,IsWeekend,Regions,Topic Group
0,6.8950000000000005,35,61833.9,102.436,0,0,6,3,1,Africa,0
1,8.023,31,68441.85,77.50800000000001,1,0,0,4,0,Oceania,2
2,6.947,26,59785.94,94.6,0,0,6,3,1,Europe,3
3,7.415000000000001,29,54806.18,98.356,1,0,6,1,1,Europe,1
4,6.837000000000001,35,73889.99,90.232,0,0,4,6,0,Europe,1
5,5.9990000000000006,23,59761.56,90.696,1,0,3,5,0,Europe,1
6,8.891,33,53852.85,83.34400000000001,0,0,3,1,0,Asia,0
7,6.6,48,24593.33,52.70399999999999,1,1,0,3,0,Oceania,0
8,7.453,30,68862.0,88.604,1,0,0,4,0,North America,1
9,6.988,20,55642.32,73.52799999999999,1,0,0,7,0,Africa,2
10,4.764,49,45632.51,48.808,0,1,2,3,0,Asia,4
11,8.306999999999999,37,62491.01,92.348,1,0,6,5,1,Africa,4
12,6.956999999999999,48,51636.92,45.248000000000005,1,1,4,6,0,Africa,2
13,7.952,24,51739.63,85.692,0,0,2,4,0,Europe,2
14,4.295,33,30976.0,57.424,0,1,3,3,0,North America,1
15,6.345000000000001,23,52182.23,56.25599999999999,1,1,2,3,0,Europe,1
16,5.539,37,23936.86,51.764,0,1,5,1,1,Asia,1
17,8.203,41,71511.08,75.012,0,0,0,5,0,Asia,5
18,5.470000000000001,36,31087.54,47.356,1,1,5,2,1,Oceania,1
19,7.458,40,23821.72,54.20399999999999,1,1,5,2,1,Europe,3
20,7.721999999999999,30,64802.33,89.776,1,0,1,1,0,Africa,5
21,8.459,35,60015.57,90.616,1,0,4,3,0,Africa,4
22,4.149,52,32635.7,65.932,0,1,4,5,0,Africa,0
23,8.729000000000001,36,61628.72,83.97200000000001,1,0,2,3,0,Asia,0
24,4.139,41,68962.32,66.888,0,1,0,6,0,Oceania,2
25,7.874,28,64828.0,81.916,1,0,4,5,0,Europe,4
26,4.853,28,38067.08,53.65599999999999,1,1,0,2,0,Oceania,4
27,5.195,52,58295.82,51.69199999999999,0,1,1,7,0,Europe,3
28,7.0200000000000005,34,32708.94,47.68,0,1,3,4,0,Others,5
29,7.601999999999999,22,46179.97,83.928,0,0,2,1,0,Oceania,1
30,6.764,35,51473.28,106.804,1,0,5,7,1,South America,3
31,8.641,28,45593.93,82.99199999999999,1,0,1,3,0,Others,2
32,5.904999999999999,57,25583.29,67.692,1,1,4,7,0,Asia,2
33,5.5600000000000005,23,30227.98,85.03200000000001,0,1,3,1,0,Africa,4
34,5.764,57,45580.92,53.524,1,1,1,3,0,North America,3
35,8.437000000000001,30,61389.5,80.632,0,0,1,4,0,Europe,3
36,6.226,53,56770.79,50.18,1,1,3,4,0,Europe,2
37,6.581999999999999,39,76435.3,88.776,0,0,1,2,0,Europe,3
38,5.043,46,57425.87,47.728,1,1,5,5,1,Oceania,5
39,3.893,39,27508.41,64.83200000000001,0,1,4,3,0,Africa,4
40,8.498000000000001,29,57691.95,81.04400000000001,0,0,2,4,0,Europe,3
41,6.424,30,59784.18,100.944,0,0,5,4,1,Africa,3
42,8.251999999999999,32,66572.39,79.244,1,0,6,5,1,Asia,5
43,8.138,31,64929.61,84.92,0,0,0,2,0,Oceania,5
44,8.047,25,57519.64,81.944,0,0,3,2,0,Africa,2
45,3.768,52,53575.48,69.132,1,1,2,2,0,Asia,3
46,6.962000000000001,20,50983.75,80.9,1,0,4,2,0,Asia,0
47,8.540000000000001,43,67058.72,79.488,0,0,2,6,0,Asia,3
48,4.433,37,52723.34,49.488,1,1,4,1,0,North America,3
49,4.801,46,54286.1,47.972,0,1,0,4,0,Europe,4
50,7.318,23,61526.25,78.684,1,0,0,4,0,Others,2
51,7.994,28,58526.04,90.116,0,0,1,5,0,Europe,5
52,3.333,45,53350.11,77.432,1,1,6,1,1,Africa,4
53,5.033,50,62657.53,53.28,1,1,2,3,0,Oceania,3
54,6.231,47,62722.57,47.72,0,1,6,2,1,Asia,2
55,8.059999999999999,31,67479.62,71.02000000000001,0,0,3,4,0,Europe,1
56,6.519,36,75254.88,60.24400000000001,0,1,2,2,0,Asia,0
57,4.497999999999999,49,52336.64,51.724,0,1,6,4,1,Oceania,3
58,7.763,29,56113.37,95.688,0,0,6,2,1,Asia,1
59,4.182,41,24852.9,62.544,0,1,3,5,0,Asia,5
60,8.561,27,47708.42,73.372,0,0,5,4,1,Africa,0
61,8.584,34,64654.66,77.172,1,0,2,6,0,North America,3
62,7.208,29,71228.44,67.8,0,0,2,3,0,Africa,2
63,8.606,32,61601.05,71.568,1,0,3,3,0,Europe,3
64,4.596,45,66281.46,56.488,0,1,4,6,0,Oceania,5
65,6.242,29,73910.9,79.4,1,0,3,3,0,North America,4
66,6.389,40,51317.33,42.088,0,1,4,1,0,Africa,3
67,3.533,32,51510.18,80.088,0,1,6,6,1,Others,3
68,7.574,25,61005.87,86.1,1,0,5,1,1,Africa,4
69,7.853,34,32536.98,52.688,0,1,4,4,0,Oceania,1
70,4.613,31,60248.97,55.604,0,1,0,2,0,Oceania,0
71,6.901000000000001,46,74543.81,89.05199999999999,0,0,3,7,0,Others,5
72,5.535,39,75509.61,61.268,1,1,1,3,0,Oceania,5
73,3.321,43,42650.32,66.828,1,1,1,5,0,Asia,2
74,3.846,42,58183.04,58.392,1,1,2,4,0,North America,1
75,6.409999999999999,22,60465.72,86.372,0,0,4,4,0,Africa,5
76,4.981,35,57009.76,48.024,1,1,1,1,0,Others,1
