Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
6.8950000000000005,35,61833.9,102.43599999999999,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2016-03-27 00:53:11,0
8.023,31,68441.85,77.50800000000001,Monitored national standardization,West Jodi,1,Nauru,2016-04-04 01:39:02,0
6.947,26,59785.94,94.6,Organic bottom-line service-desk,Davidton,0,San Marino,2016-03-13 20:35:42,0
7.415000000000001,29,54806.18,98.356,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:19,0
6.837000000000001,35,73889.99,90.232,Robust logistical utilization,South Manuel,0,Iceland,2016-06-03 03:36:18,0
5.9990000000000006,23,59761.56,90.696,Sharable client-driven software,Jamieberg,1,Norway,2016-05-19 14:30:17,0
8.891,33,53852.85,83.34400000000001,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:32,0
6.6,48,24593.33,52.70399999999999,Reactive local challenge,Port Jefferybury,1,Australia,2016-03-07 01:40:15,1
7.453,30,68862.0,88.604,Configurable coherent function,West Colin,1,Grenada,2016-04-18 09:33:42,0
6.9879999999999995,20,55642.32,73.52799999999999,Mandatory homogeneous architecture,Ramirezton,1,Ghana,2016-07-11 01:42:51,0
4.764,49,45632.51,48.808,Centralized neutral neural-net,West Brandonton,0,Qatar,2016-03-16 20:19:01,1
8.306999999999999,37,62491.01,92.348,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,2016-05-08 08:10:10,0
6.956999999999999,48,51636.92,45.248000000000005,Centralized content-based focus group,West Katiefurt,1,Egypt,2016-06-03 01:14:41,1
7.952,24,51739.63,85.692,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:22,0
4.295,33,30976.0,57.424,Grass-roots coherent extranet,West William,0,Barbados,2016-03-24 09:31:49,1
6.345000000000001,23,52182.23,56.25599999999999,Persistent demand-driven interface,New Travistown,1,Spain,2016-03-09 03:41:30,1
5.539,37,23936.86,51.763999999999996,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:41,1
8.203,41,71511.08,75.012,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2016-05-02 07:00:58,0
5.470000000000001,36,31087.54,47.356,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,1
7.458,40,23821.72,54.20399999999999,Advanced 24/7 productivity,Millertown,1,Russian Federation,2016-02-27 04:43:07,1
7.7219999999999995,30,64802.33,89.776,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,0
8.459,35,60015.57,90.616,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2016-03-18 13:22:35,0
4.149,52,32635.7,65.932,Mandatory disintermediate utilization,South John,0,Burundi,2016-05-20 08:49:33,1
8.729000000000001,36,61628.72,83.97200000000001,Future-proofed methodical protocol,Pamelamouth,1,Korea,2016-03-23 09:43:43,0
4.139,41,68962.32,66.888,Exclusive neutral parallelism,Harperborough,0,Tokelau,2016-06-13 17:27:09,1
7.874,28,64828.0,81.916,Public-key foreground groupware,Port Danielleberg,1,Monaco,2016-05-27 15:25:52,0
4.853,28,38067.08,53.65599999999999,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2016-02-08 10:46:14,1
5.195,52,58295.82,51.69199999999999,Monitored systematic hierarchy,South Cathyfurt,0,Greece,2016-07-19 08:32:10,1
7.0200000000000005,34,32708.94,47.68,Open-architected impactful productivity,Palmerside,0,British Virgin Islands,2016-04-14 05:08:35,1
7.601999999999999,22,46179.97,83.928,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,0
6.764,35,51473.28,106.804,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,2016-07-02 20:23:15,0
8.641,28,45593.93,82.99199999999999,Digitized static capability,Lake Melindamouth,1,Aruba,2016-03-01 22:13:37,0
5.904999999999999,57,25583.29,67.692,Digitized global capability,North Richardburgh,1,Maldives,2016-07-15 05:05:14,1
5.5600000000000005,23,30227.98,85.03200000000001,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,2016-01-14 14:00:09,1
5.764,57,45580.92,53.524,Synchronized dedicated service-desk,New Thomas,1,Dominica,2016-03-15 03:12:25,1
8.437000000000001,30,61389.5,80.632,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,2016-04-12 03:26:39,0
6.226,53,56770.79,50.18,Profound stable product,West Aprilport,1,Montenegro,2016-04-07 15:18:10,1
6.581999999999999,39,76435.3,88.776,Reactive demand-driven capacity,Kellytown,0,Ukraine,2016-02-09 05:28:18,0
5.043,46,57425.87,47.727999999999994,Persevering needs-based open architecture,Charlesport,1,Saint Helena,2016-05-07 17:11:49,1
3.893,39,27508.41,64.83200000000001,Intuitive exuding service-desk,Millerchester,0,Liberia,2016-03-11 06:49:10,1
8.498000000000001,29,57691.95,81.04400000000001,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,2016-04-27 09:27:58,0
6.4239999999999995,30,59784.18,100.944,Front-line intermediate database,Zacharystad,0,Tunisia,2016-04-16 11:53:43,0
8.251999999999999,32,66572.39,79.244,Persevering exuding system engine,North Joshua,1,Turkmenistan,2016-05-08 15:38:46,0
8.138,31,64929.61,84.92,Balanced dynamic application,Bowenview,0,Saint Helena,2016-02-08 00:23:38,0
8.047,25,57519.64,81.944,Reduced global support,Jamesberg,0,Niger,2016-02-11 13:26:22,0
3.768,52,53575.48,69.132,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,2016-02-17 13:16:33,1
6.962000000000001,20,50983.75,80.9,Business-focused encompassing neural-net,New Sharon,1,Qatar,2016-02-26 22:46:43,0
8.540000000000001,43,67058.72,79.488,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,2016-06-08 18:54:01,0
4.433,37,52723.34,49.488,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,2016-01-08 09:32:26,1
4.801,46,54286.1,47.972,Centralized 24/7 installation,West Christopher,0,Italy,2016-04-25 11:01:54,1
7.3180000000000005,23,61526.25,78.684,Organized static focus group,Hollandberg,1,British Virgin Islands,2016-04-04 07:07:46,0
